family,path,dataset,variant,seed,run_id,aggregation_weighting_label,aggregation_weighting_raw_value
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03,abs,gda,0,centralized_abs_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p01,abs,gda,0,centralized_abs_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p03,abs,gda,0,centralized_abs_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p001_flr_0p03,abs,gda,0,centralized_abs_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p01,abs,gda,0,centralized_abs_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03,abs,sgda,0,centralized_abs_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p01,abs,sgda,0,centralized_abs_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p03,abs,sgda,0,centralized_abs_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p001_flr_0p03,abs,sgda,0,centralized_abs_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p01,abs,sgda,0,centralized_abs_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p03,linear,gda,0,centralized_linear_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p01,linear,gda,0,centralized_linear_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p002_flr_0p03,linear,gda,0,centralized_linear_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p001_flr_0p03,linear,gda,0,centralized_linear_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p002_flr_0p01,linear,gda,0,centralized_linear_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p03,linear,sgda,0,centralized_linear_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p01,linear,sgda,0,centralized_linear_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p002_flr_0p03,linear,sgda,0,centralized_linear_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p001_flr_0p03,linear,sgda,0,centralized_linear_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p002_flr_0p01,linear,sgda,0,centralized_linear_sgda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p03,step,gda,0,centralized_step_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p01,step,gda,0,centralized_step_gda_seed0,legacy_sample_weighted,
centralized_lowdim_v1_tuning,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p002_flr_0p03,step,gda,0,centralized_step_gda_seed0,legacy_sample_weighted,
