category,scenario,display_name,method,expected_runs,completed_runs,missing_runs,seeds_present,alphas_present,metrics_json_present,mse_by_round_csv_present,predictions_npz_present,test_mse_by_round_csv_present,validation_status,notes
lowdim_federated,abs,Absolute,fedgda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,abs,Absolute,fedogda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,abs,Absolute,fedgda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,abs,Absolute,fedogda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,step,Step,fedgda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,step,Step,fedogda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,step,Step,fedgda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,step,Step,fedogda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,linear,Linear,fedgda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,linear,Linear,fedogda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,linear,Linear,fedgda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,linear,Linear,fedogda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,sin,Sine,fedgda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,sin,Sine,fedogda_d,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,sin,Sine,fedgda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
lowdim_federated,sin,Sine,fedogda_s,9,9,0,0|1|2,0.1|0.5|1.0,9,9,9,0,validated_complete,legacy sweep lacks per-round Test MSE
