source_family,dataset,function,alpha,pairs,fedogda_curve_mse_wins,fedogda_test_mse_wins,mean_fedgda_curve_mse,mean_fedogda_curve_mse,mean_curve_mse_gap,mean_fedgda_curve_mae,mean_fedogda_curve_mae,mean_curve_mae_gap,mean_fedgda_curve_max_abs,mean_fedogda_curve_max_abs,mean_curve_max_abs_gap,mean_fedgda_test_mse,mean_fedogda_test_mse,mean_test_mse_gap
base_sweep,abs,Absolute,0.1,3,2,2,0.018548214722196435,0.0176289575443227,-0.0009192571778736764,0.10548215601549606,0.1030002104060968,-0.0024819456093992665,0.5085507418107549,0.49593425155575493,-0.012616490254999939,0.01854821472219643,0.017628957544322834,-0.00091925717787361
base_sweep,abs,Absolute,0.5,3,2,2,0.017751509232719332,0.016589363027287734,-0.0011621462054315658,0.10293015311664415,0.09950404635611736,-0.003426106760526767,0.49909218096910274,0.4829161339790285,-0.016176046990074234,0.017751509232719367,0.01658936302728777,-0.0011621462054315671
base_sweep,abs,Absolute,1.0,3,2,2,0.017724719971074932,0.016457180728907866,-0.0012675392421670282,0.10253171586447,0.09878214623185037,-0.0037495696326196,0.5008166757620308,0.4817660783132561,-0.019050597448774766,0.017724719971074866,0.016457180728907866,-0.0012675392421669185
base_sweep,linear,Linear,0.1,3,2,2,0.0042873276709887,0.0029284127043506664,-0.0013589149666379946,0.044266101137354436,0.03715403250029477,-0.007112068637059633,0.2776556796586302,0.19781703839310763,-0.07983864126552247,0.004287327670988667,0.0029284127043506664,-0.0013589149666379935
base_sweep,linear,Linear,0.5,3,2,2,0.004233043017911066,0.0028403330306042,-0.0013927099873067804,0.04372022492437593,0.03659384266004867,-0.007126382264327266,0.25585559816852443,0.20248265622039294,-0.0533729419481315,0.004233043017911066,0.002840333030604233,-0.0013927099873067804
base_sweep,linear,Linear,1.0,3,2,2,0.004157897849779634,0.00281604730341,-0.0013418505463696358,0.04270086311483046,0.03657576187938864,-0.006125101235441767,0.25448487362492167,0.20159601912762262,-0.05288885449729893,0.004157897849779634,0.00281604730341,-0.0013418505463696365
base_sweep,sin,Sine,0.1,3,1,1,0.08615394344239946,0.08621158805166017,5.764460926071718e-05,0.24526382548201273,0.24430350734904194,-0.0009603181329707089,0.9466916923685148,0.965035682965247,0.0183439905967325,0.0861539434423992,0.08621158805166011,5.7644609260860715e-05
base_sweep,sin,Sine,0.5,3,0,0,0.0861961437156482,0.08627282780969053,7.668409404234116e-05,0.2450646562302269,0.2441074105613438,-0.0009572456688831296,0.9500184997774749,0.9660306800076778,0.01601218023020293,0.08619614371564831,0.0862728278096903,7.668409404201639e-05
base_sweep,sin,Sine,1.0,3,1,1,0.08610686290668552,0.08615591748419364,4.905457750805346e-05,0.24510586297404188,0.24421174021065947,-0.0008941227633823063,0.9475485708998508,0.9645216606959298,0.016973089796078932,0.08610686290668557,0.08615591748419381,4.90545775082385e-05
base_sweep,step,Step,0.1,3,3,3,0.029787982300158666,0.029188219986105064,-0.0005997623140535487,0.14280521803823018,0.14137041121490568,-0.001434806823324459,0.6293480870435058,0.6125362854573234,-0.016811801586182232,0.029787982300158864,0.02918821998610513,-0.0005997623140536811
base_sweep,step,Step,0.5,3,3,3,0.029725487862183167,0.02917841264836137,-0.0005470752138217887,0.14274209276976826,0.1413971236166578,-0.001344969153110438,0.6323082199185851,0.6103616228178917,-0.02194659710069337,0.02972548786218303,0.0291784126483613,-0.0005470752138217312
base_sweep,step,Step,1.0,3,3,3,0.029675366730405703,0.029139760391266836,-0.0005356063391388319,0.14265179270803446,0.1413184923151428,-0.001333300392891623,0.6316432901073239,0.6131028193510811,-0.018540470756242735,0.029675366730405633,0.029139760391266836,-0.0005356063391387828
tuned_sine_a2_lite,sin,Sine,1.0,3,3,3,0.08610686290668552,0.08001153457404353,-0.006095328332641933,0.24510586297404188,0.22940692373345528,-0.015698939240586567,0.9475485708998508,0.9172711530950292,-0.03027741780482156,0.08610686290668557,0.08001153457404317,-0.0060953283326423
