x,y
-6.138194246365484,-0.8534084989586316
-6.110297478049938,-0.8495516628586478
-5.960204539398715,-0.8288007336615869
-5.902585694247424,-0.8208347055000015
-5.879784492492026,-0.8176823511821634
-5.723230805747161,-0.7960381985766202
-5.598478748123443,-0.77879074417803
-5.578138726847044,-0.7759786575791123
-5.572598251964053,-0.7752126655008162
-5.560469897699281,-0.7735358736218192
-5.549805488025472,-0.7720614777437833
-5.43573939325259,-0.7562595727148645
-5.432883205324724,-0.7558627511804776
-5.416404850941183,-0.7535733479493893
-5.416349000674331,-0.7535655884499628
-5.331324630822355,-0.7417528150061042
-5.304993927440435,-0.7380945857924146
-5.28780348358571,-0.7357062491424783
-5.281424404554916,-0.7348199783532632
-5.273435342254857,-0.7337100261931498
-5.260936117338327,-0.7319734592251165
-5.258741072973665,-0.7316684929922104
-5.250755032042603,-0.7305589606028936
-5.243170077798192,-0.7295051527801806
-5.205145377597438,-0.7242222301366592
-5.170981194090233,-0.7194756644124134
-5.136498988197398,-0.7146849145748588
-5.1325601010904816,-0.7141376693427454
-5.130936094078672,-0.7139120395975895
-5.09585109694511,-0.7090375415785071
-5.08203008333641,-0.7071173332569601
-5.069156745089919,-0.7053287892379138
-5.066837075325941,-0.705006508303234
-5.061194055529377,-0.7042225011472611
-5.022448770824572,-0.698839464836231
-4.995829942812268,-0.6951412053231316
-4.986736020641241,-0.6938777505923356
-4.982005227044275,-0.693220482645888
-4.980042532132487,-0.692947797645426
-4.970557448439666,-0.6916299972906054
-4.969309623194277,-0.6914566319725564
-4.963650799257275,-0.6906704290845739
-4.950697260554098,-0.6888707424975019
-4.938362985222379,-0.6871570926305115
-4.915846676499914,-0.6840288124186911
-4.905039096660951,-0.6825272724209662
-4.891837121449535,-0.6806930695629457
-4.890871140157209,-0.6805588619448578
-4.88698066268326,-0.6800183424553493
-4.874388786698877,-0.6782689031064232
-4.860545671671938,-0.6763456241470476
-4.845941971279896,-0.6743166740416425
-4.8383406708707675,-0.6732605951813336
-4.829312158742136,-0.6720062281275546
-4.829025358301311,-0.6719663818030601
-4.826601606624754,-0.6716296403548234
-4.8247180983616955,-0.6713679570700208
-4.813454322192823,-0.6698030359040436
-4.811103823759176,-0.6694764718198267
-4.804871474719533,-0.6686105868111345
-4.804212279937162,-0.6685190022615156
-4.801146432717646,-0.6680930519289149
-4.799517922629786,-0.6678667965535156
-4.797365152128444,-0.6675677035963644
