x,y
-6.138194246365484,-1.7685475626223919
-6.110297478049938,-1.7604614477782472
-5.960204539398715,-1.7169557368119837
-5.902585694247424,-1.7002544259715913
-5.879784492492026,-1.6936453043022572
-5.723230805747161,-1.6482668907177773
-5.598478748123443,-1.612106448992827
-5.578138726847044,-1.6062107213546664
-5.572598251964053,-1.6046047677299236
-5.560469897699281,-1.6010892614051004
-5.549805488025472,-1.5979980918333416
-5.43573939325259,-1.5649350670512692
-5.432883205324724,-1.5641071767616141
-5.416404850941183,-1.5593307860169718
-5.416349000674331,-1.5593145973435472
-5.331324630822355,-1.5346695627862292
-5.304993927440435,-1.5270373851423886
-5.28780348358571,-1.5220545892264306
-5.281424404554916,-1.520205559078586
-5.273435342254857,-1.5178898616284515
-5.260936117338327,-1.5142668553004552
-5.258741072973665,-1.5136306030786972
-5.250755032042603,-1.5113157813979856
-5.243170077798192,-1.5091172180943748
-5.205145377597438,-1.4980954363145071
-5.170981194090233,-1.4881926580331337
-5.136498988197398,-1.478197698266646
-5.1325601010904816,-1.4770559784393034
-5.130936094078672,-1.4765852462363236
-5.09585109694511,-1.4664155623174027
-5.08203008333641,-1.462409424329005
-5.069156745089919,-1.4586779780800625
-5.066837075325941,-1.458005602129564
-5.061194055529377,-1.4563699249921023
-5.022448770824572,-1.4451392756836103
-4.995829942812268,-1.4374235826725288
-4.986736020641241,-1.434787632220244
-4.982005227044275,-1.4334163715818677
-4.980042532132487,-1.432847467819209
-4.970557448439666,-1.4300981358830172
-4.969309623194277,-1.4297364431548298
-4.963650799257275,-1.428096185053253
-4.950697260554098,-1.4243414920218895
-4.938362985222379,-1.4207662977297242
-4.915846676499914,-1.4142397547217083
-4.905039096660951,-1.4111070860635822
-4.891837121449535,-1.4072803816037116
-4.890871140157209,-1.407000383735188
-4.88698066268326,-1.4058726958504462
-4.874388786698877,-1.402222833824807
-4.860545671671938,-1.3982102895529263
-4.845941971279896,-1.3939772831636623
-4.8383406708707675,-1.391773981785602
-4.829312158742136,-1.3891569909887436
-4.829025358301311,-1.3890738594490752
-4.826601606624754,-1.388371314473662
-4.8247180983616955,-1.3878253636325932
-4.813454322192823,-1.384560462599971
-4.811103823759176,-1.3838791506981596
-4.804871474719533,-1.382072651482433
-4.804212279937162,-1.3818815782851863
-4.801146432717646,-1.3809929164720613
-4.799517922629786,-1.380520879014305
-4.797365152128444,-1.3798968802302871
-4.789301794672958,-1.3775596476993734
-4.777978087335375,-1.3742773751093205
-4.759680147364828,-1.3689735620532877
-4.758032201859256,-1.3684958910749063
-4.745217853021474,-1.3647815434062742
-4.719910759208651,-1.357446067675632
-4.718170336031439,-1.356941591259971
-4.7106173638604965,-1.354752298231544
-4.697040265206256,-1.3508168610609492
-4.693049829806838,-1.349660199523926
-4.686562444579598,-1.34777977590667
-4.680787942308763,-1.3461059874591481
-4.672749386702337,-1.3437759439544898
-4.667851958103522,-1.3423563827478624
-4.664850336040783,-1.3414863371410208
